Loan ID,Loan Status,Current Loan Amount,Term,Credit Score,Annual Income,Home Ownership,Purpose,Monthly Debt,Years of Credit History,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies
14dd8831-6af5-400b-83ec-68e61888a048,Fully Paid,445412.0,Short Term,709.0,1167493.0,Home Mortgage,Home Improvements,5214.74,17.2,6.0,1.0,228190.0,416746.0,1.0
4eed4e6a-aa2f-4c91-8651-ce984ee8fb26,Fully Paid,99999999.0,Short Term,741.0,2231892.0,Own Home,Debt Consolidation,29200.53,14.9,18.0,1.0,297996.0,750090.0,0.0
77598f7b-32e7-4e3b-a6e5-06ba0d98fe8a,Fully Paid,347666.0,Long Term,721.0,806949.0,Own Home,Debt Consolidation,8741.9,12.0,9.0,0.0,256329.0,386958.0,0.0
89d8cb0c-e5c2-4f54-b056-48a645c543dd,Charged Off,206602.0,Short Term,7290.0,896857.0,Home Mortgage,Debt Consolidation,16367.74,17.3,6.0,0.0,215308.0,272448.0,0.0
273581de-85d8-4332-81a5-19b04ce68666,Fully Paid,217646.0,Short Term,730.0,1184194.0,Home Mortgage,Debt Consolidation,10855.08,19.6,13.0,1.0,122170.0,272052.0,1.0
8af915d9-9e91-44a0-b5a2-564a45c12089,Fully Paid,548746.0,Short Term,678.0,2559110.0,Rent,Debt Consolidation,18660.28,22.6,4.0,0.0,437171.0,555038.0,0.0
0b1c4e3d-bd97-45ce-9622-22732fcdc9a0,Fully Paid,215952.0,Short Term,739.0,1454735.0,Rent,Debt Consolidation,39277.75,13.9,20.0,0.0,669560.0,1021460.0,0.0
32c2e48f-1ba8-45e0-a530-9a6622c18d9c,Fully Paid,99999999.0,Short Term,728.0,714628.0,Rent,Debt Consolidation,11851.06,16.0,16.0,0.0,203965.0,289784.0,0.0
403d7235-0284-4bb6-919a-09402fecbf7b,Fully Paid,99999999.0,Short Term,740.0,776188.0,Own Home,Debt Consolidation,11578.22,8.5,6.0,0.0,134083.0,220220.0,0.0
01d878ae-efa2-41e2-8159-6c834ff09f47,Fully Paid,99999999.0,Short Term,743.0,1560907.0,Rent,Debt Consolidation,17560.37,13.3,10.0,1.0,225549.0,496474.0,1.0
