saledate,type,bedrooms,avg_price
2007-02,house,3,290000.0
2007-02,house,4,525000.0
2007-03,house,3,319000.0
2007-03,house,4,380000.0
2007-04,house,3,399000.0
2007-04,house,4,997500.0
2007-05,house,3,339500.0
2007-06,house,3,345000.0
2007-06,house,4,710666.6666666666
2007-06,unit,2,300000.0
2007-07,house,1,327000.0
2007-07,house,3,517562.5
2007-07,house,4,861400.0
2007-07,house,5,667500.0
2007-07,unit,2,330000.0
2007-07,unit,3,480000.0
2007-08,house,2,320000.0
2007-08,house,3,499850.0
2007-08,house,4,566785.7142857143
2007-08,house,5,616500.0
2007-08,unit,3,395000.0
2007-09,house,3,501000.0
2007-09,house,4,574944.4444444445
2007-09,house,5,1460000.0
2007-09,unit,2,401800.0
2007-09,unit,3,490000.0
2007-10,house,1,204250.0
2007-10,house,3,426642.85714285716
2007-10,house,4,577000.0
2007-10,house,5,768333.3333333334
2007-10,unit,2,405000.0
2007-11,house,1,308000.0
2007-11,house,2,481000.0
2007-11,house,3,490642.85714285716
2007-11,house,4,550312.5
2007-11,house,5,600000.0
2007-12,house,2,259000.0
2007-12,house,3,448181.8181818182
2007-12,house,4,635714.2857142857
2007-12,house,5,930000.0
2007-12,unit,1,351000.0
2007-12,unit,2,279950.0
2007-12,unit,3,432000.0
2008-01,house,1,380000.0
2008-01,house,2,363250.0
2008-01,house,3,449000.0
2008-01,house,4,592812.5
2008-01,unit,1,315000.0
2008-02,house,2,515000.0
2008-02,house,3,431600.0
2008-02,house,4,572500.0
2008-02,house,5,680250.0
2008-03,house,3,492500.0
2008-03,house,4,665333.3333333334
2008-03,unit,2,400000.0
2008-04,house,1,292500.0
2008-04,house,3,439055.55555555556
2008-04,house,4,638437.5
2008-04,house,5,654333.3333333334
2008-04,unit,2,438000.0
2008-05,house,2,404666.6666666667
2008-05,house,3,484125.0
2008-05,house,4,601900.0
2008-05,house,5,750000.0
2008-05,unit,2,329000.0
2008-06,house,2,480000.0
2008-06,house,3,479839.28571428574
2008-06,house,4,571006.6666666666
2008-06,house,5,965000.0
2008-06,unit,1,289000.0
2008-06,unit,2,347300.0
2008-07,house,2,860000.0
2008-07,house,3,442384.6153846154
2008-07,house,4,629166.6666666666
2008-07,unit,2,367500.0
2008-07,unit,3,415000.0
2008-08,house,2,393166.6666666667
2008-08,house,3,402480.0
2008-08,house,4,516052.63157894736
2008-08,house,5,530000.0
2008-09,house,2,539100.0
2008-09,house,3,439236.5853658537
2008-09,house,4,525261.2903225806
2008-09,house,5,884166.6666666666
2008-09,unit,1,345000.0
2008-09,unit,2,307750.0
2008-10,house,2,402333.3333333333
2008-10,house,3,434979.26829268294
2008-10,house,4,543721.2121212122
2008-10,house,5,720000.0
2008-10,unit,0,90000.0
2008-10,unit,1,256625.0
2008-10,unit,2,347800.0
2008-11,house,2,470000.0
2008-11,house,3,460670.9090909091
2008-11,house,4,541210.5263157894
2008-11,house,5,597616.6666666666
2008-11,unit,1,373500.0
2008-11,unit,2,279983.3333333333
2008-11,unit,3,405000.0
2008-12,house,2,411600.0
2008-12,house,3,421293.47826086957
2008-12,house,4,566061.2068965518
2008-12,house,5,1107000.0
2008-12,unit,1,304666.6666666667
2008-12,unit,2,330000.0
2008-12,unit,3,392500.0
2009-01,house,2,442500.0
2009-01,house,3,413208.1395348837
2009-01,house,4,617528.9310344828
2009-01,house,5,750000.0
2009-01,unit,1,377500.0
2009-01,unit,2,347618.75
2009-01,unit,3,440666.6666666667
2009-02,house,2,410000.0
2009-02,house,3,397925.0
2009-02,house,4,531021.2765957447
2009-02,house,5,562375.0
2009-02,unit,1,331250.0
2009-02,unit,2,397868.4210526316
2009-02,unit,3,348333.3333333333
2009-03,house,2,329563.0
2009-03,house,3,460189.1891891892
2009-03,house,4,554927.6721311476
2009-03,house,5,612000.0
2009-03,unit,1,296400.0
2009-03,unit,2,388562.5
2009-03,unit,3,432625.0
2009-04,house,2,325500.0
2009-04,house,3,430385.57692307694
2009-04,house,4,568239.1086956522
2009-04,house,5,1016750.0
2009-04,unit,1,360000.0
2009-04,unit,2,380810.0
2009-04,unit,3,625000.0
2009-05,house,2,444700.0
2009-05,house,3,420903.2181818182
2009-05,house,4,543814.1304347826
2009-05,house,5,637250.0
2009-05,unit,1,235125.0
2009-05,unit,2,411800.0
2009-05,unit,3,785000.0
2009-06,house,2,447750.0
2009-06,house,3,460717.64705882355
2009-06,house,4,553171.052631579
2009-06,house,5,715166.6666666666
2009-06,unit,1,271785.71428571426
2009-06,unit,2,351281.25
2009-06,unit,3,425000.0
2009-07,house,2,426800.0
2009-07,house,3,451047.61904761905
2009-07,house,4,590498.6666666666
2009-07,house,5,733750.0
2009-07,unit,1,356666.6666666667
2009-07,unit,2,367427.2727272727
2009-07,unit,3,351750.0
2009-08,house,2,486700.0
2009-08,house,3,429873.9130434783
2009-08,house,4,570937.1794871795
2009-08,house,5,645000.0
2009-08,unit,1,302666.6666666667
2009-08,unit,2,426333.3333333333
2009-08,unit,3,485000.0
2009-09,house,2,655000.0
2009-09,house,3,447053.3898305085
2009-09,house,4,546837.8780487805
2009-09,house,5,832562.5
2009-09,unit,1,253333.33333333334
2009-09,unit,2,393931.25
2009-09,unit,3,386000.0
2009-10,house,2,492250.0
2009-10,house,3,470778.046875
2009-10,house,4,581578.125
2009-10,house,5,620100.0
2009-10,unit,1,353625.0
2009-10,unit,2,455444.44444444444
2009-10,unit,3,350000.0
2009-11,house,2,384000.0
2009-11,house,3,467959.8181818182
2009-11,house,4,637593.9655172414
2009-11,house,5,828166.6666666666
2009-11,unit,1,252220.0
2009-11,unit,2,419833.3333333333
2009-11,unit,3,500000.0
2009-12,house,2,342000.0
2009-12,house,3,492219.1666666667
2009-12,house,4,592792.3076923077
2009-12,house,5,793214.2857142857
2009-12,unit,1,303016.6666666667
2009-12,unit,2,388009.0909090909
2009-12,unit,3,590000.0
2010-01,house,2,350000.0
2010-01,house,3,445957.14285714284
2010-01,house,4,577222.2222222222
2010-01,house,5,816333.3333333334
2010-01,unit,1,334666.6666666667
2010-01,unit,2,491700.0
2010-01,unit,3,1530000.0
2010-02,house,2,564333.3333333334
2010-02,house,3,506450.0
2010-02,house,4,630687.5
2010-02,house,5,648275.0
2010-02,unit,1,264600.0
2010-02,unit,2,388333.3333333333
2010-02,unit,3,448500.0
2010-03,house,2,416750.0
2010-03,house,3,468835.66071428574
2010-03,house,4,606547.1698113207
2010-03,house,5,621187.5
2010-03,unit,1,387833.3333333333
2010-03,unit,2,510307.6923076923
2010-03,unit,3,477625.0
2010-04,house,2,513100.0
2010-04,house,3,520292.85714285716
2010-04,house,4,666884.3137254902
2010-04,house,5,1864333.3333333333
2010-04,unit,1,350750.0
2010-04,unit,2,443500.0
2010-04,unit,3,530000.0
2010-05,house,1,280000.0
2010-05,house,2,539500.0
2010-05,house,3,503674.1935483871
2010-05,house,4,619818.0
2010-05,house,5,679454.5454545454
2010-05,unit,1,373750.0
2010-05,unit,2,450993.75
2010-05,unit,3,558400.0
2010-05,unit,4,550000.0
2010-06,house,1,315000.0
2010-06,house,2,399500.0
2010-06,house,3,467835.0
2010-06,house,4,650431.7857142857
2010-06,house,5,1109500.0
2010-06,unit,1,276316.6666666667
2010-06,unit,2,432250.0
2010-06,unit,3,582500.0
2010-07,house,1,320000.0
2010-07,house,2,606750.0
2010-07,house,3,492361.45098039217
2010-07,house,4,569974.7916666666
2010-07,house,5,691090.0
2010-07,unit,1,359333.3333333333
2010-07,unit,2,410145.45454545453
2010-07,unit,3,472666.6666666667
2010-07,unit,4,400000.0
2010-08,house,1,345000.0
2010-08,house,2,413333.3333333333
2010-08,house,3,498502.8064516129
2010-08,house,4,625498.9361702128
2010-08,house,5,761000.0
2010-08,unit,1,329571.4285714286
2010-08,unit,2,464605.55555555556
2010-08,unit,3,440000.0
2010-09,house,2,588000.0
2010-09,house,3,504771.6666666667
2010-09,house,4,606154.7619047619
2010-09,house,5,704875.0
2010-09,unit,1,373750.0
2010-09,unit,2,408147.5
2010-09,unit,3,522500.0
2010-10,house,2,467868.75
2010-10,house,3,526412.3076923077
2010-10,house,4,663679.7872340425
2010-10,house,5,761428.5714285715
2010-10,unit,1,345750.0
2010-10,unit,2,427050.0
2010-10,unit,3,724750.0
2010-11,house,2,436000.0
2010-11,house,3,507377.02702702704
2010-11,house,4,640286.0294117647
2010-11,house,5,939838.0
2010-11,unit,1,297333.3333333333
2010-11,unit,2,382845.3333333333
2010-11,unit,3,615666.6666666666
2010-12,house,1,326500.0
2010-12,house,2,369142.85714285716
2010-12,house,3,513077.34375
2010-12,house,4,642367.5438596491
2010-12,house,5,757916.6666666666
2010-12,unit,1,345666.6666666667
2010-12,unit,2,464807.14285714284
2010-12,unit,3,517000.0
2011-01,house,2,340000.0
2011-01,house,3,461362.63157894736
2011-01,house,4,553494.2307692308
2011-01,house,5,1007500.0
2011-01,unit,1,367475.0
2011-01,unit,2,423125.0
2011-01,unit,3,520000.0
2011-02,house,1,401650.0
2011-02,house,2,452500.0
2011-02,house,3,506361.20588235295
2011-02,house,4,610923.6521739131
2011-02,house,5,800777.7777777778
2011-02,unit,1,332250.0
2011-02,unit,2,398055.55555555556
2011-02,unit,3,473000.0
2011-02,unit,4,601000.0
2011-03,house,2,578200.0
2011-03,house,3,525366.2727272727
2011-03,house,4,722470.9696969697
2011-03,house,5,822111.1111111111
2011-03,unit,1,446666.6666666667
2011-03,unit,2,411950.0
2011-03,unit,3,615000.0
2011-04,house,2,488333.3333333333
2011-04,house,3,497184.92063492065
2011-04,house,4,634320.8620689656
2011-04,house,5,802692.3076923077
2011-04,unit,1,338250.0
2011-04,unit,2,513166.6666666667
2011-04,unit,3,416333.3333333333
2011-04,unit,4,408000.0
2011-05,house,2,427666.6666666667
2011-05,house,3,523430.1081081081
2011-05,house,4,695754.9019607843
2011-05,house,5,720437.5
2011-05,unit,1,346250.0
2011-05,unit,2,395846.1538461539
2011-05,unit,3,510000.0
2011-05,unit,4,521000.0
2011-06,house,2,474700.0
2011-06,house,3,578706.5909090909
2011-06,house,4,601025.8620689656
2011-06,house,5,825831.6666666666
2011-06,unit,2,434400.0
2011-06,unit,3,561500.0
2011-07,house,2,655000.0
2011-07,house,3,519037.5
2011-07,house,4,633454.0
2011-07,house,5,640800.0
2011-07,unit,1,304387.5
2011-07,unit,2,488666.6666666667
2011-07,unit,4,370000.0
2011-08,house,1,560000.0
2011-08,house,2,536250.0
2011-08,house,3,528032.7868852459
2011-08,house,4,607343.06
2011-08,house,5,763406.25
2011-08,unit,1,348950.0
2011-08,unit,2,414714.28571428574
2011-08,unit,3,363500.0
2011-09,house,2,397833.3333333333
2011-09,house,3,501223.5294117647
2011-09,house,4,847173.0769230769
2011-09,house,5,1317333.3333333333
2011-09,unit,1,355700.0
2011-09,unit,2,413564.28571428574
2011-09,unit,3,501500.0
2011-10,house,1,363000.0
2011-10,house,2,453666.6666666667
2011-10,house,3,491631.1475409836
2011-10,house,4,629557.1428571428
2011-10,house,5,1042277.7777777778
2011-10,unit,1,345750.0
2011-10,unit,2,420900.0
2011-10,unit,3,460300.0
2011-10,unit,4,1250000.0
2011-11,house,2,385750.0
2011-11,house,3,523167.40506329114
2011-11,house,4,645199.2647058824
2011-11,house,5,823833.3333333334
2011-11,unit,1,331590.0
2011-11,unit,2,468066.6666666667
2011-11,unit,3,925000.0
2011-12,house,1,685000.0
2011-12,house,2,383500.0
2011-12,house,3,480200.3076923077
2011-12,house,4,664275.0
2011-12,house,5,852875.0
2011-12,unit,1,304190.0
2011-12,unit,2,411200.0
2011-12,unit,3,436000.0
2012-01,house,1,395000.0
2012-01,house,2,405000.0
2012-01,house,3,483744.44444444444
2012-01,house,4,620166.6666666666
2012-01,house,5,952700.0
2012-01,unit,1,357000.0
2012-01,unit,2,415571.4285714286
2012-01,unit,3,455000.0
2012-02,house,2,510000.0
2012-02,house,3,501746.6216216216
2012-02,house,4,582444.4444444445
2012-02,house,5,746666.6666666666
2012-02,unit,1,345285.71428571426
2012-02,unit,2,407150.0
2012-02,unit,3,456000.0
2012-03,house,1,342500.0
2012-03,house,2,574800.0
2012-03,house,3,492798.1927710843
2012-03,house,4,659130.701754386
2012-03,house,5,694863.6363636364
2012-03,unit,1,317916.6666666667
2012-03,unit,2,450388.8888888889
2012-03,unit,3,514000.0
2012-04,house,1,370150.0
2012-04,house,2,835000.0
2012-04,house,3,483918.8103448276
2012-04,house,4,567846.3823529412
2012-04,house,5,953214.2857142857
2012-04,unit,1,327166.6666666667
2012-04,unit,2,404650.0
2012-04,unit,3,539000.0
2012-05,house,1,239000.0
